ind	bin.resp	bin2.resp
IND001	0	1
IND002	1	1
IND003	0	0
IND004	0	0
IND005	0	0
IND006	0	0
IND007	0	0
IND008	0	0
IND009	0	0
IND010	0	0
IND011	1	1
IND012	0	0
IND013	0	0
IND014	0	0
IND015	0	0
IND016	1	1
IND017	1	1
IND018	0	0
IND019	0	0
IND020	0	0
IND021	0	0
IND022	0	0
IND023	0	0
IND024	1	1
IND025	0	0
IND026	0	1
IND027	0	0
IND028	0	0
IND029	1	1
IND030	1	1
IND031	0	0
IND032	0	0
IND033	0	0
IND034	0	0
IND035	0	0
IND036	0	0
IND037	0	0
IND038	0	0
IND039	1	1
IND040	0	0
IND041	0	0
IND042	0	0
IND043	0	0
IND044	1	1
IND045	0	0
IND046	0	0
IND047	0	0
IND048	0	0
IND049	0	0
IND050	0	0
IND051	0	0
IND052	0	0
IND053	0	0
IND054	0	0
IND055	0	0
IND056	0	0
IND057	0	0
IND058	0	0
IND059	0	0
IND060	1	1
IND061	0	0
IND062	0	0
IND063	1	1
IND064	1	1
IND065	0	0
IND066	0	0
IND067	0	0
IND068	1	1
IND069	0	0
IND070	1	1
IND071	0	0
IND072	1	1
IND073	0	0
IND074	0	0
IND075	0	0
IND076	0	0
IND077	0	0
IND078	1	1
IND079	0	0
IND080	0	0
IND081	0	0
IND082	0	0
IND083	0	0
IND084	0	0
IND085	0	0
IND086	0	0
IND087	0	0
IND088	0	0
IND089	0	0
IND090	0	0
IND091	0	0
IND092	1	1
IND093	0	0
IND094	0	0
IND095	1	1
IND096	1	1
IND097	0	0
IND098	1	1
IND099	0	0
IND100	1	1
IND101	0	0
IND102	0	0
IND103	0	0
IND104	0	1
IND105	0	0
IND106	0	0
IND107	0	0
IND108	0	1
IND109	0	0
IND110	0	0
IND111	0	1
IND112	0	0
IND113	1	1
IND114	0	0
IND115	0	1
IND116	0	0
IND117	1	1
IND118	0	0
IND119	0	0
IND120	0	0
IND121	0	0
IND122	1	1
IND123	1	1
IND124	1	1
IND125	0	0
IND126	0	0
IND127	0	0
IND128	0	0
IND129	0	0
IND130	0	0
IND131	0	0
IND132	0	0
IND133	1	1
IND134	0	0
IND135	0	0
IND136	1	1
IND137	0	0
IND138	0	0
IND139	0	0
IND140	0	0
IND141	0	0
IND142	0	0
IND143	0	0
IND144	0	0
IND145	0	0
IND146	0	0
IND147	0	0
IND148	0	0
IND149	0	0
IND150	0	0
IND151	1	1
IND152	0	0
IND153	0	0
IND154	0	0
IND155	0	0
IND156	0	0
IND157	1	1
IND158	0	0
IND159	0	0
IND160	0	0
IND161	0	0
IND162	0	0
IND163	0	0
IND164	1	1
IND165	0	0
IND166	0	0
IND167	1	1
IND168	0	0
IND169	0	0
IND170	0	0
IND171	0	0
IND172	0	0
IND173	0	0
IND174	0	0
IND175	1	1
IND176	0	0
IND177	0	0
IND178	1	1
IND179	0	0
IND180	0	0
IND181	0	0
IND182	1	1
IND183	1	1
IND184	0	0
IND185	0	0
IND186	0	0
IND187	0	0
IND188	0	0
IND189	0	0
IND190	0	0
IND191	0	0
IND192	1	1
IND193	0	0
IND194	1	1
IND195	0	0
IND196	0	0
IND197	0	0
